time_ns,clk,reset,new_game,difficulty,letter_valid,letter_ascii,word_ready,word_length,revealed_word,letter_correct,letter_repeated,word_complete
740,0,0,0,0,0,41,0,0,202020202020202020202020,0,0,0
745,1,0,0,0,0,41,0,0,202020202020202020202020,0,0,0
750,0,0,1,0,1,41,0,0,202020202020202020202020,0,0,0
755,1,0,1,0,1,41,0,0,202020202020202020202020,0,0,0
760,0,0,0,1,0,41,0,0,202020202020202020202020,0,0,0
765,1,0,0,1,0,41,1,5,202020202020205f5f5f5f5f,0,0,0
770,0,0,0,1,0,41,1,5,202020202020205f5f5f5f5f,0,0,0
775,1,0,0,1,0,41,0,5,202020202020205f5f5f5f5f,0,0,0
780,0,0,0,1,1,00,0,5,202020202020205f5f5f5f5f,0,0,0
785,1,0,0,1,1,00,0,5,202020202020205f5f5f5f5f,0,0,0
790,0,0,0,1,1,01,0,5,202020202020205f5f5f5f5f,0,0,0
3590,0,0,0,1,1,5a,0,5,2020202020202052414c4f53,0,0,1
3595,1,0,0,1,1,5a,0,5,2020202020202052414c4f53,0,0,1
3600,0,0,0,1,0,5a,0,5,2020202020202052414c4f53,0,0,1
3605,1,0,0,1,0,5a,0,5,2020202020202052414c4f53,0,0,1
3610,0,1,0,1,0,5a,0,5,2020202020202052414c4f53,0,0,1
3615,1,1,0,1,0,5a,0,0,202020202020202020202020,0,0,0
3620,0,0,0,1,0,5a,0,0,202020202020202020202020,0,0,0
3625,1,0,0,1,0,5a,0,0,202020202020202020202020,0,0,0
3630,0,0,0,1,0,5a,0,0,202020202020202020202020,0,0,0
3635,1,0,0,1,0,5a,0,0,202020202020202020202020,0,0,0
3640,0,0,1,0,1,41,0,0,202020202020202020202020,0,0,0
3645,1,0,1,0,1,41,0,0,202020202020202020202020,0,0,0
3650,0,0,0,1,0,41,0,0,202020202020202020202020,0,0,0
3655,1,0,0,1,0,41,1,4,20202020202020205f5f5f5f,0,0,0
3660,0,0,0,1,0,41,1,4,20202020202020205f5f5f5f,0,0,0
3665,1,0,0,1,0,41,0,4,20202020202020205f5f5f5f,0,0,0
3670,0,0,0,1,1,41,0,4,20202020202020205f5f5f5f,0,0,0
4870,0,0,0,1,0,41,1,b,205f5f5f5f5f5f5f5f5f5f5f,0,0,0
4875,1,0,0,1,0,41,0,b,205f5f5f5f5f5f5f5f5f5f5f,0,0,0
4880,0,0,0,1,1,41,0,b,205f5f5f5f5f5f5f5f5f5f5f,0,0,0
4885,1,0,0,1,1,41,0,b,20415f5f5f415f5f5f5f5f5f,1,0,0
4890,0,0,0,1,1,41,0,b,20415f5f5f415f5f5f5f5f5f,1,0,0
4895,1,0,0,1,1,41,0,b,20415f5f5f415f5f5f5f5f5f,0,1,0
4900,0,0,0,1,1,42,0,b,20415f5f5f415f5f5f5f5f5f,0,1,0
4905,1,0,0,1,1,42,0,b,20415f5f5f415f5f5f5f5f5f,0,0,0
4910,0,0,0,1,1,42,0,b,20415f5f5f415f5f5f5f5f5f,0,0,0
4915,1,0,0,1,1,42,0,b,20415f5f5f415f5f5f5f5f5f,0,1,0
4920,0,0,0,1,1,43,0,b,20415f5f5f415f5f5f5f5f5f,0,1,0
5270,0,0,0,1,1,54,0,b,2041524f4441545f504d4f43,1,0,0
5275,1,0,0,1,1,54,0,b,2041524f4441545f504d4f43,0,1,0
5280,0,0,0,1,1,55,0,b,2041524f4441545f504d4f43,0,1,0
5285,1,0,0,1,1,55,0,b,2041524f44415455504d4f43,1,0,1
5290,0,0,0,1,1,55,0,b,2041524f44415455504d4f43,1,0,1
5295,1,0,0,1,1,55,0,b,2041524f44415455504d4f43,0,0,1
5300,0,0,0,1,1,56,0,b,2041524f44415455504d4f43,0,0,1
5305,1,0,0,1,1,56,0,b,2041524f44415455504d4f43,0,0,1
5310,0,0,0,1,1,56,0,b,2041524f44415455504d4f43,0,0,1
5315,1,0,0,1,1,56,0,b,2041524f44415455504d4f43,0,0,1
5320,0,0,0,1,1,57,0,b,2041524f44415455504d4f43,0,0,1
59340,0,0,0,1,0,5a,0,0,202020202020202020202020,0,0,0
59345,1,0,0,1,0,5a,0,0,202020202020202020202020,0,0,0
59350,0,0,1,1,1,41,0,0,202020202020202020202020,0,0,0
59355,1,0,1,1,1,41,0,0,202020202020202020202020,0,0,0
59360,0,0,0,0,0,41,0,0,202020202020202020202020,0,0,0
59365,1,0,0,0,0,41,0,0,202020202020202020202020,0,0,0
59370,0,0,0,0,0,41,0,0,202020202020202020202020,0,0,0
59375,1,0,0,0,0,41,0,0,202020202020202020202020,0,0,0
59380,0,0,0,0,0,41,0,0,202020202020202020202020,0,0,0
59385,1,0,0,0,0,41,1,6,2020202020205f5f5f5f5f5f,0,0,0
59390,0,0,0,0,0,41,1,6,2020202020205f5f5f5f5f5f,0,0,0
59395,1,0,0,0,0,41,0,6,2020202020205f5f5f5f5f5f,0,0,0
59400,0,0,0,0,1,00,0,6,2020202020205f5f5f5f5f5f,0,0,0
59405,1,0,0,0,1,00,0,6,2020202020205f5f5f5f5f5f,0,0,0
59410,0,0,0,0,1,01,0,6,2020202020205f5f5f5f5f5f,0,0,0
